Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Microjassa cumbrensis (Stebbing & Robertson, 1891);Microjassa;cumbrensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;Tube
Cerapopsis longipes (Della Valle, 1893);Cerapopsis;longipes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.35;Tube
Micropythia carinata (Spence Bate, 1862);Micropythia;carinata;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.25;Tube
Leucothoe euryonyx (Walker, 1901);Leucothoe;euryonyx;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;Free
Leucothoe procera Spence Bate, 1857;Leucothoe;procera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;Free
Leucothoe richiardii Lesson, 1865;Leucothoe;richiardii;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Free
Leucothoe spinicarpa (Abildgaard, 1789);Leucothoe;spinicarpa;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;18;Free
Leucothoe venetiarum Giordani-Soika, 1950;Leucothoe;venetiarum;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Free
Liljeborgia dellavallei Stebbing, 1906;Liljeborgia;dellavallei;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;6;Free
Lysianassa costae (H. Milne Edwards, 1830);Lysianassa;costae;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;7.75;Free
Lysianassa pilicornis (Heller, 1866);Lysianassa;pilicornis;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;9.5;Free
Lysianassa plumosa Boeck, 1871;Lysianassa;plumosa;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Free
Lysianassina longicornis (Lucas, 1846);Lysianassa;longicornis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;10.5;Free
Nannonyx propinquus Chevreux, 1911;Nannonyx;propinquus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.5;Free
Socarnes filicornis (Heller, 1866);Socarnes;filicornis;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;Free
Animoceradocus semiserratus (Spence Bate, 1862);Animoceradocus;semiserratus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8.5;Free
Ceradocus (Ceradocus) orchestiipes Costa, 1853;Ceradocus (Ceradocus);orchestiipes;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;Free
Elasmopus brasiliensis (Dana, 1855);Elasmopus;brasiliensis;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;Free
Elasmopus pectenicrus (Spence Bate, 1862);Elasmopus;pectenicrus;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;Free
Elasmopus pocillimanus (Spence Bate, 1862);Elasmopus;pocillimanus;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Free
Elasmopus rapax Costa, 1853;Elasmopus;rapax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;Free
Maera grossimana (Montagu, 1808);Maera;grossimana;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;10;Free
Maera hirondellei Chevreux, 1900;Maera;hirondellei;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Free
